"",STATE,JANUARY,FEBRUARY,MARCH,APRIL,MAY,JUNE,JULY,AUGUST,SEPTEMBER,OCTOBER,NOVEMBER,DECEMBER,TOTAL
Montana,,"36,191,351","34,573,578","39,738,373","39,890,084","41,256,491","45,974,219","52,831,331","50,411,772","44,238,347","42,356,390","39,442,506","39,239,563","506,144,005"
Nebraska,,"68,194,908","63,945,262","73,615,518","72,766,336","74,274,614","76,390,653","79,667,028","76,529,057","75,605,994","73,341,730","70,861,990","78,571,877","883,764,967"
Nevada,,"87,556,420","83,101,578","92,088,120","90,419,713","93,692,007","91,306,527","99,911,334","99,405,508","93,335,038","94,463,205","88,449,494","91,639,155","1,105,368,099"
New Hampshire,,"60,354,864","55,420,840","58,625,541","56,597,486","61,828,558","63,481,858","57,122,983","66,988,824","61,544,481","64,506,392","58,440,350","63,161,865","728,074,042"
New Jersey,,"394,569,343","335,661,952","379,672,762","397,045,286","410,162,286","389,823,962","267,319,724","342,956,914","357,762,819","367,451,238","308,142,819","442,033,305","4,392,602,410"
New Mexico,,"44,515,859","121,945,664","70,191,297","82,000,382","91,880,532","92,489,688","73,673,138","93,479,524","79,720,434","74,841,731","66,074,617","96,413,164","987,226,030"
New York,,"471,712,905","444,834,170","451,625,724","488,083,610","516,057,786","499,908,902","514,505,978","496,314,077","489,656,118","517,524,226","438,393,505","501,078,958","5,829,695,959"
North Carolina,,"335,345,510","340,455,371","383,323,815","366,911,491","425,388,034","353,520,836","390,399,038","387,946,418","365,851,082","377,443,163","374,005,041","366,852,597","4,467,442,396"
North Dakota,,"27,427,619","27,534,026","28,704,095","30,622,848","30,263,525","33,210,738","34,494,991","32,867,157","33,213,566","32,274,658","30,729,451","27,926,846","369,269,520"
Ohio,,"416,279,593","403,467,539","439,745,250","437,524,897","465,348,928","462,703,087","465,121,647","470,983,910","438,513,890","450,584,782","432,208,361","456,371,161","5,338,853,045"
Oklahoma,,"150,204,025","144,038,667","160,128,602","159,483,223","183,970,485","162,052,352","168,203,724","165,294,654","158,226,947","152,921,829","180,637,959","140,851,290","1,926,013,757"
Oregon,,"97,072,149","131,038,304","131,685,936","127,418,936","137,946,094","135,912,285","142,301,559","145,009,435","128,138,968","132,663,467","124,513,669","129,040,186","1,562,740,988"
Pennsylvania,,"414,982,448","394,445,408","430,464,773","438,912,651","457,831,728","450,144,319","467,135,089","462,425,709","437,175,648","453,576,763","432,543,758","461,318,030","5,300,956,324"
Rhode Island,,"35,184,443","31,294,112","35,567,707","31,940,766","36,333,761","34,424,399","30,082,299","31,705,915","33,478,866","30,014,527","27,676,708","32,904,670","390,608,173"
South Carolina,,"369,759,022","184,317,224","211,544,977","216,955,975","214,746,598","214,389,739","239,097,822","212,991,914","395,497,598","205,978,870","199,382,882","208,297,024","2,872,959,645"
South Dakota,,"33,308,650","30,810,249","33,682,062","35,033,291","35,716,207","41,106,185","43,805,195","43,587,590","35,777,030","37,169,565","35,176,821","36,986,443","442,159,288"
Tennessee,,"239,209,372","220,452,198","266,480,360","262,188,431","267,730,390","260,825,064","270,278,917","278,461,837","259,209,567","277,034,385","254,146,683","264,247,266","3,120,264,470"
Texas,,"977,591,679","952,832,304","1,003,543,567","976,080,149","1,009,806,064","961,788,201","1,006,571,470","1,009,607,575","961,888,709","983,938,018","936,637,753","1,018,791,969","11,799,077,458"
Utah,,"86,976,350","78,067,066","91,927,575","86,136,799","87,097,419","88,799,503","93,746,262","93,432,430","84,233,663","88,209,167","100,241,530","88,412,470","1,067,280,234"
Vermont,,"30,216,604","28,222,626","28,241,706","26,381,638","29,317,999","30,382,165","32,677,474","33,064,924","29,926,433","31,123,198","28,151,438","30,176,044","357,882,249"
Virginia,,"313,325,145","304,154,238","270,313,524","425,717,745","325,020,935","343,511,493","342,140,887","346,474,684","338,723,849","333,140,724","332,418,725","343,953,765","4,018,895,714"
Washington,,"203,886,484","179,170,835","263,662,651","228,726,507","229,706,960","228,792,955","243,733,493","243,384,755","231,303,477","229,813,508","224,313,455","230,374,857","2,736,869,937"
West Virginia,,"22,222,376","105,449,801","73,593,439","38,989,471","106,546,085","42,148,411","108,035,469","76,408,387","39,346,306","103,056,080","45,220,654","100,304,832","861,321,311"
Wisconsin,,"211,421,047","189,647,502","211,537,690","212,454,323","219,114,019","230,654,551","228,728,950","237,341,756","223,912,883","213,126,796","210,268,620","230,154,841","2,618,362,978"
Wyoming,,"25,098,575","28,754,103","32,036,844","19,470,933","27,840,798","13,963,723","32,791,159","35,286,215","34,140,876","40,942,498","35,876,282","26,679,506","352,881,512"
U.S. Total,,"11,261,854,549","11,005,181,446","11,692,544,706","11,895,971,923","12,198,531,381","11,860,555,065","12,200,893,855","12,220,365,337","11,948,365,139","11,711,664,271","11,493,535,101","12,180,487,424","141,669,950,197"
Puerto Rico,,"89,993,871","103,673,335","100,367,818","96,343,919","98,687,904","99,736,607","106,524,462","96,446,142","96,270,153","104,914,066","97,312,452","96,861,819","1,187,132,548"
Grand Total,,"11,351,848,420","11,108,854,781","11,792,912,524","11,992,315,842","12,297,219,285","11,960,291,672","12,307,418,317","12,316,811,479","12,044,635,292","11,816,578,337","11,590,847,553","12,277,349,243","142,857,082,745"
