state,value,date
Alabama,"190,615,628",2001-01-01
Alaska,"21,277,831",2001-01-01
Arizona,"203,543,999",2001-01-01
Arkansas,"100,993,496",2001-01-01
California,"1,207,478,310",2001-01-01
Colorado,"81,735,822",2001-01-01
Connecticut,"119,879,569",2001-01-01
Delaware,"29,315,694",2001-01-01
District of Columbia,"14,806,832",2001-01-01
Florida,"644,291,630",2001-01-01
Georgia,"384,159,636",2001-01-01
Hawaii,"40,917,614",2001-01-01
Idaho,"53,880,978",2001-01-01
Illinois,"402,422,913",2001-01-01
Indiana,"239,873,618",2001-01-01
Iowa,"117,888,156",2001-01-01
Kansas,"108,972,210",2001-01-01
Kentucky,"163,888,559",2001-01-01
Louisiana,"182,647,136",2001-01-01
Maine,"24,681,946",2001-01-01
Maryland,"187,385,378",2001-01-01
Massachusetts,"217,661,354",2001-01-01
Michigan,"391,745,758",2001-01-01
Minnesota,"202,649,193",2001-01-01
Mississippi,"110,668,585",2001-01-01
Missouri,"239,233,232",2001-01-01
Montana,"34,936,786",2001-01-01
Nebraska,"62,357,287",2001-01-01
Nevada,"76,334,556",2001-01-01
New Hampshire,"52,459,653",2001-01-01
New Jersey,"310,212,219",2001-01-01
New Mexico,"26,435,475",2001-01-01
New York,"471,486,136",2001-01-01
North Carolina,"337,065,270",2001-01-01
North Dakota,"21,271,946",2001-01-01
Ohio,"405,834,707",2001-01-01
Oklahoma,"134,539,078",2001-01-01
Oregon,"109,119,060",2001-01-01
Pennsylvania,"390,702,254",2001-01-01
Rhode Island,"31,784,826",2001-01-01
South Carolina,"177,299,858",2001-01-01
South Dakota,"30,641,760",2001-01-01
Tennessee,"241,126,506",2001-01-01
Texas,"871,380,747",2001-01-01
Utah,"86,110,802",2001-01-01
Vermont,"28,844,906",2001-01-01
Virginia,"369,004,042",2001-01-01
Washington,"208,983,110",2001-01-01
West Virginia,"41,067,194",2001-01-01
Wisconsin,"194,813,645",2001-01-01
Wyoming,"25,736,185",2001-01-01
Alabama,"198,366,790",2002-01-01
Alaska,"20,534,759",2002-01-01
Arizona,"215,454,723",2002-01-01
Arkansas,"115,613,575",2002-01-01
California,"1,256,942,248",2002-01-01
Colorado,"168,118,732",2002-01-01
Connecticut,"135,398,335",2002-01-01
Delaware,"32,160,541",2002-01-01
District of Columbia,"11,809,641",2002-01-01
Florida,"660,363,388",2002-01-01
Georgia,"384,249,658",2002-01-01
Hawaii,"32,516,392",2002-01-01
Idaho,"47,474,677",2002-01-01
Illinois,"406,327,340",2002-01-01
Indiana,"254,526,628",2002-01-01
Iowa,"121,919,469",2002-01-01
Kansas,"112,836,055",2002-01-01
Kentucky,"174,674,991",2002-01-01
Louisiana,"185,466,938",2002-01-01
Maine,"97,812,004",2002-01-01
Maryland,"196,305,082",2002-01-01
Massachusetts,"225,514,185",2002-01-01
Michigan,"399,528,475",2002-01-01
Minnesota,"209,069,835",2002-01-01
Mississippi,"124,130,361",2002-01-01
Missouri,"256,977,843",2002-01-01
Montana,"35,639,070",2002-01-01
Nebraska,"67,769,122",2002-01-01
Nevada,"79,388,127",2002-01-01
New Hampshire,"55,412,748",2002-01-01
New Jersey,"331,162,333",2002-01-01
New Mexico,"56,631,881",2002-01-01
New York,"474,635,518",2002-01-01
North Carolina,"324,598,752",2002-01-01
North Dakota,"25,899,209",2002-01-01
Ohio,"417,692,929",2002-01-01
Oklahoma,"56,198,981",2002-01-01
Oregon,"101,974,268",2002-01-01
Pennsylvania,"413,827,301",2002-01-01
Rhode Island,"31,784,826",2002-01-01
South Carolina,"176,198,017",2002-01-01
South Dakota,"33,017,037",2002-01-01
Tennessee,"248,976,429",2002-01-01
Texas,"918,593,557",2002-01-01
Utah,"79,844,996",2002-01-01
Vermont,"28,655,720",2002-01-01
Virginia,"304,345,944",2002-01-01
Washington,"214,786,114",2002-01-01
West Virginia,"63,944,061",2002-01-01
Wisconsin,"186,701,126",2002-01-01
Wyoming,"16,782,158",2002-01-01
Alabama,"200,885,422",2003-01-01
Alaska,"22,328,362",2003-01-01
Arizona,"221,420,065",2003-01-01
Arkansas,"116,245,755",2003-01-01
California,"1,262,606,251",2003-01-01
Colorado,"168,128,374",2003-01-01
Connecticut,"143,528,491",2003-01-01
Delaware,"31,535,902",2003-01-01
District of Columbia,"11,918,245",2003-01-01
Florida,"669,338,970",2003-01-01
Georgia,"403,938,227",2003-01-01
Hawaii,"37,342,458",2003-01-01
Idaho,"49,335,850",2003-01-01
Illinois,"418,081,071",2003-01-01
Indiana,"258,873,102",2003-01-01
Iowa,"129,230,399",2003-01-01
Kansas,"113,888,070",2003-01-01
Kentucky,"174,542,847",2003-01-01
Louisiana,"170,690,551",2003-01-01
Maine,"82,879,251",2003-01-01
Maryland,"202,881,880",2003-01-01
Massachusetts,"231,292,395",2003-01-01
Michigan,"413,644,526",2003-01-01
Minnesota,"220,207,401",2003-01-01
Mississippi,"130,013,235",2003-01-01
Missouri,"294,132,139",2003-01-01
Montana,"36,368,931",2003-01-01
Nebraska,"69,434,006",2003-01-01
Nevada,"83,004,838",2003-01-01
New Hampshire,"62,511,024",2003-01-01
New Jersey,"332,181,571",2003-01-01
New Mexico,"61,984,109",2003-01-01
New York,"494,706,226",2003-01-01
North Carolina,"350,646,559",2003-01-01
North Dakota,"27,262,004",2003-01-01
Ohio,"419,783,041",2003-01-01
Oklahoma,"142,846,395",2003-01-01
Oregon,"118,874,503",2003-01-01
Pennsylvania,"413,168,517",2003-01-01
Rhode Island,"34,574,946",2003-01-01
South Carolina,"184,286,830",2003-01-01
South Dakota,"34,176,231",2003-01-01
Tennessee,"258,671,073",2003-01-01
Texas,"923,631,394",2003-01-01
Utah,"74,238,159",2003-01-01
Vermont,"30,749,294",2003-01-01
Virginia,"304,039,460",2003-01-01
Washington,"218,848,024",2003-01-01
West Virginia,"46,296,468",2003-01-01
Wisconsin,"206,064,030",2003-01-01
Wyoming,"23,987,703",2003-01-01
Alabama,"202,802,848",2004-01-01
Alaska,"23,646,787",2004-01-01
Arizona,"227,588,931",2004-01-01
Arkansas,"117,758,848",2004-01-01
California,"1,293,630,728",2004-01-01
Colorado,"172,276,334",2004-01-01
Connecticut,"129,200,842",2004-01-01
Delaware,"33,703,658",2004-01-01
District of Columbia,"14,258,748",2004-01-01
Florida,"625,475,385",2004-01-01
Georgia,"395,860,930",2004-01-01
Hawaii,"36,607,032",2004-01-01
Idaho,"44,697,403",2004-01-01
Illinois,"439,656,846",2004-01-01
Indiana,"254,560,312",2004-01-01
Iowa,"124,871,268",2004-01-01
Kansas,"110,099,380",2004-01-01
Kentucky,"176,423,982",2004-01-01
Louisiana,"187,413,485",2004-01-01
Maine,"59,203,868",2004-01-01
Maryland,"209,913,097",2004-01-01
Massachusetts,"236,121,491",2004-01-01
Michigan,"388,171,345",2004-01-01
Minnesota,"222,689,787",2004-01-01
Mississippi,"128,546,373",2004-01-01
Missouri,"254,068,100",2004-01-01
Montana,"36,191,351",2004-01-01
Nebraska,"68,194,908",2004-01-01
Nevada,"87,556,420",2004-01-01
New Hampshire,"60,354,864",2004-01-01
New Jersey,"394,569,343",2004-01-01
New Mexico,"44,515,859",2004-01-01
New York,"471,712,905",2004-01-01
North Carolina,"335,345,510",2004-01-01
North Dakota,"27,427,619",2004-01-01
Ohio,"416,279,593",2004-01-01
Oklahoma,"150,204,025",2004-01-01
Oregon,"97,072,149",2004-01-01
Pennsylvania,"414,982,448",2004-01-01
Rhode Island,"35,184,443",2004-01-01
South Carolina,"369,759,022",2004-01-01
South Dakota,"33,308,650",2004-01-01
Tennessee,"239,209,372",2004-01-01
Texas,"977,591,679",2004-01-01
Utah,"86,976,350",2004-01-01
Vermont,"30,216,604",2004-01-01
Virginia,"313,325,145",2004-01-01
Washington,"203,886,484",2004-01-01
West Virginia,"22,222,376",2004-01-01
Wisconsin,"211,421,047",2004-01-01
Wyoming,"25,098,575",2004-01-01
Alabama,"206,162,969",2005-01-01
Alaska,"22,230,175",2005-01-01
Arizona,"229,798,669",2005-01-01
Arkansas,"113,920,634",2005-01-01
California,"1,269,597,124",2005-01-01
Colorado,"171,399,374",2005-01-01
Connecticut,"140,476,015",2005-01-01
Delaware,"36,593,072",2005-01-01
District of Columbia,"5,712,280",2005-01-01
Florida,"738,257,997",2005-01-01
Georgia,"444,724,278",2005-01-01
Hawaii,"46,527,153",2005-01-01
Idaho,"51,316,016",2005-01-01
Illinois,"373,443,161",2005-01-01
Indiana,"251,119,506",2005-01-01
Iowa,"122,013,636",2005-01-01
Kansas,"102,980,425",2005-01-01
Kentucky,"224,862,244",2005-01-01
Louisiana,"167,156,187",2005-01-01
Maine,"53,880,863",2005-01-01
Maryland,"210,796,661",2005-01-01
Massachusetts,"223,761,149",2005-01-01
Michigan,"395,817,841",2005-01-01
Minnesota,"216,595,685",2005-01-01
Mississippi,"108,372,898",2005-01-01
Missouri,"249,288,481",2005-01-01
Montana,"35,381,803",2005-01-01
Nebraska,"63,331,358",2005-01-01
Nevada,"88,651,786",2005-01-01
New Hampshire,"58,454,463",2005-01-01
New Jersey,"337,013,457",2005-01-01
New Mexico,"47,656,236",2005-01-01
New York,"445,554,888",2005-01-01
North Carolina,"346,364,648",2005-01-01
North Dakota,"23,097,905",2005-01-01
Ohio,"406,964,999",2005-01-01
Oklahoma,"146,085,363",2005-01-01
Oregon,"84,462,788",2005-01-01
Pennsylvania,"401,733,874",2005-01-01
Rhode Island,"30,043,777",2005-01-01
South Carolina,"159,646,060",2005-01-01
South Dakota,"30,736,032",2005-01-01
Tennessee,"261,243,728",2005-01-01
Texas,"933,754,168",2005-01-01
Utah,"81,556,661",2005-01-01
Vermont,"28,601,155",2005-01-01
Virginia,"310,327,837",2005-01-01
Washington,"208,127,795",2005-01-01
West Virginia,"64,899,759",2005-01-01
Wisconsin,"204,937,289",2005-01-01
Wyoming,"24,367,528",2005-01-01
Alabama,"222,881,140",2006-01-01
Alaska,"21,351,592",2006-01-01
Arizona,"240,465,007",2006-01-01
Arkansas,"112,461,264",2006-01-01
California,"1,290,262,436",2006-01-01
Colorado,"172,938,676",2006-01-01
Connecticut,"125,170,014",2006-01-01
Delaware,"35,082,190",2006-01-01
District of Columbia,"7,272,974",2006-01-01
Florida,"737,322,584",2006-01-01
Georgia,"399,142,575",2006-01-01
Hawaii,"52,095,555",2006-01-01
Idaho,"51,882,961",2006-01-01
Illinois,"403,978,964",2006-01-01
Indiana,"249,189,479",2006-01-01
Iowa,"124,207,257",2006-01-01
Kansas,"103,806,752",2006-01-01
Kentucky,"169,223,765",2006-01-01
Louisiana,"208,646,986",2006-01-01
Maine,"53,730,668",2006-01-01
Maryland,"217,647,235",2006-01-01
Massachusetts,"223,393,100",2006-01-01
Michigan,"385,657,973",2006-01-01
Minnesota,"210,307,101",2006-01-01
Mississippi,"126,790,802",2006-01-01
Missouri,"248,913,244",2006-01-01
Montana,"35,386,130",2006-01-01
Nebraska,"62,534,313",2006-01-01
Nevada,"98,469,115",2006-01-01
New Hampshire,"58,294,742",2006-01-01
New Jersey,"335,825,010",2006-01-01
New Mexico,"61,155,517",2006-01-01
New York,"454,825,476",2006-01-01
North Carolina,"342,776,667",2006-01-01
North Dakota,"23,815,918",2006-01-01
Ohio,"404,648,587",2006-01-01
Oklahoma,"145,614,898",2006-01-01
Oregon,"92,308,945",2006-01-01
Pennsylvania,"394,351,220",2006-01-01
Rhode Island,"34,139,644",2006-01-01
South Carolina,"193,715,119",2006-01-01
South Dakota,"31,069,647",2006-01-01
Tennessee,"241,081,446",2006-01-01
Texas,"941,294,475",2006-01-01
Utah,"82,891,615",2006-01-01
Vermont,"27,450,357",2006-01-01
Virginia,"307,467,936",2006-01-01
Washington,"214,222,409",2006-01-01
West Virginia,"61,271,488",2006-01-01
Wisconsin,"188,914,851",2006-01-01
Wyoming,"26,861,456",2006-01-01
Alabama,"221,556,670",2007-01-01
Alaska,"24,804,753",2007-01-01
Arizona,"249,783,105",2007-01-01
Arkansas,"116,434,263",2007-01-01
California,"1,298,005,123",2007-01-01
Colorado,"172,257,741",2007-01-01
Connecticut,"128,269,211",2007-01-01
Delaware,"37,535,748",2007-01-01
District of Columbia,"12,167,722",2007-01-01
Florida,"724,117,701",2007-01-01
Georgia,"413,453,982",2007-01-01
Hawaii,"34,292,895",2007-01-01
Idaho,"55,101,368",2007-01-01
Illinois,"430,504,124",2007-01-01
Indiana,"259,077,461",2007-01-01
Iowa,"131,345,352",2007-01-01
Kansas,"105,157,982",2007-01-01
Kentucky,"177,583,834",2007-01-01
Louisiana,"191,971,559",2007-01-01
Maine,"56,782,654",2007-01-01
Maryland,"234,734,722",2007-01-01
Massachusetts,"264,129,550",2007-01-01
Michigan,"383,030,665",2007-01-01
Minnesota,"219,379,409",2007-01-01
Mississippi,"137,821,748",2007-01-01
Missouri,"253,671,152",2007-01-01
Montana,"36,296,552",2007-01-01
Nebraska,"66,823,262",2007-01-01
Nevada,"95,451,422",2007-01-01
New Hampshire,"57,795,457",2007-01-01
New Jersey,"348,540,543",2007-01-01
New Mexico,"84,981,710",2007-01-01
New York,"461,336,256",2007-01-01
North Carolina,"359,662,812",2007-01-01
North Dakota,"25,088,334",2007-01-01
Ohio,"419,795,577",2007-01-01
Oklahoma,"140,503,358",2007-01-01
Oregon,"97,581,006",2007-01-01
Pennsylvania,"415,135,462",2007-01-01
Rhode Island,"31,075,447",2007-01-01
South Carolina,"181,956,108",2007-01-01
South Dakota,"32,620,715",2007-01-01
Tennessee,"250,276,462",2007-01-01
Texas,"943,249,089",2007-01-01
Utah,"88,469,355",2007-01-01
Vermont,"27,994,710",2007-01-01
Virginia,"325,673,932",2007-01-01
Washington,"212,526,091",2007-01-01
West Virginia,"63,980,046",2007-01-01
Wisconsin,"198,531,553",2007-01-01
Wyoming,"26,523,852",2007-01-01
Alabama,"216,882,338",2008-01-01
Alaska,"22,191,107",2008-01-01
Arizona,"237,735,857",2008-01-01
Arkansas,"113,868,719",2008-01-01
California,"1,235,578,651",2008-01-01
Colorado,"166,019,508",2008-01-01
Connecticut,"123,519,489",2008-01-01
Delaware,"35,504,512",2008-01-01
District of Columbia,"10,562,699",2008-01-01
Florida,"701,297,013",2008-01-01
Georgia,"394,068,831",2008-01-01
Hawaii,"38,754,748",2008-01-01
Idaho,"61,772,664",2008-01-01
Illinois,"382,278,430",2008-01-01
Indiana,"254,444,805",2008-01-01
Iowa,"131,335,595",2008-01-01
Kansas,"107,280,267",2008-01-01
Kentucky,"174,127,607",2008-01-01
Louisiana,"178,657,973",2008-01-01
Maine,"64,015,310",2008-01-01
Maryland,"220,535,010",2008-01-01
Massachusetts,"229,091,688",2008-01-01
Michigan,"374,276,446",2008-01-01
Minnesota,"214,388,797",2008-01-01
Mississippi,"132,473,716",2008-01-01
Missouri,"257,470,420",2008-01-01
Montana,"35,758,982",2008-01-01
Nebraska,"64,989,765",2008-01-01
Nevada,"90,105,826",2008-01-01
New Hampshire,"62,046,963",2008-01-01
New Jersey,"346,161,457",2008-01-01
New Mexico,"72,523,197",2008-01-01
New York,"487,927,153",2008-01-01
North Carolina,"357,133,657",2008-01-01
North Dakota,"28,508,371",2008-01-01
Ohio,"411,593,561",2008-01-01
Oklahoma,"128,025,888",2008-01-01
Oregon,"119,789,367",2008-01-01
Pennsylvania,"402,126,781",2008-01-01
Rhode Island,"33,402,241",2008-01-01
South Carolina,"208,315,891",2008-01-01
South Dakota,"31,795,228",2008-01-01
Tennessee,"266,375,484",2008-01-01
Texas,"969,702,511",2008-01-01
Utah,"89,658,882",2008-01-01
Vermont,"27,945,766",2008-01-01
Virginia,"321,926,260",2008-01-01
Washington,"213,113,669",2008-01-01
West Virginia,"63,625,762",2008-01-01
Wisconsin,"193,541,938",2008-01-01
Wyoming,"27,742,557",2008-01-01
Alabama,"217,370,845",2009-01-01
Alaska,"22,012,404",2009-01-01
Arizona,"230,586,797",2009-01-01
Arkansas,"112,251,679",2009-01-01
California,"1,213,834,344",2009-01-01
Colorado,"168,989,006",2009-01-01
Connecticut,"122,214,308",2009-01-01
Delaware,"35,167,084",2009-01-01
District of Columbia,"9,276,650",2009-01-01
Florida,"697,512,793",2009-01-01
Georgia,"397,658,229",2009-01-01
Hawaii,"46,326,101",2009-01-01
Idaho,"50,277,352",2009-01-01
Illinois,"378,306,834",2009-01-01
Indiana,"238,953,303",2009-01-01
Iowa,"128,016,958",2009-01-01
Kansas,"105,354,323",2009-01-01
Kentucky,"171,410,486",2009-01-01
Louisiana,"188,568,600",2009-01-01
Maine,"54,804,081",2009-01-01
Maryland,"230,947,489",2009-01-01
Massachusetts,"225,266,269",2009-01-01
Michigan,"364,046,843",2009-01-01
Minnesota,"209,297,120",2009-01-01
Mississippi,"126,470,594",2009-01-01
Missouri,"245,604,840",2009-01-01
Montana,"37,310,305",2009-01-01
Nebraska,"64,404,850",2009-01-01
Nevada,"89,970,956",2009-01-01
New Hampshire,"58,800,078",2009-01-01
New Jersey,"337,689,495",2009-01-01
New Mexico,"93,315,437",2009-01-01
New York,"488,033,059",2009-01-01
North Carolina,"345,697,026",2009-01-01
North Dakota,"28,513,504",2009-01-01
Ohio,"389,154,746",2009-01-01
Oklahoma,"137,312,616",2009-01-01
Oregon,"93,740,181",2009-01-01
Pennsylvania,"400,740,873",2009-01-01
Rhode Island,"34,824,754",2009-01-01
South Carolina,"200,792,157",2009-01-01
South Dakota,"38,757,453",2009-01-01
Tennessee,"275,343,730",2009-01-01
Texas,"968,217,922",2009-01-01
Utah,"86,375,021",2009-01-01
Vermont,"28,312,134",2009-01-01
Virginia,"314,481,513",2009-01-01
Washington,"218,769,684",2009-01-01
West Virginia,"62,149,802",2009-01-01
Wisconsin,"199,888,608",2009-01-01
Wyoming,"22,516,346",2009-01-01
Alabama,"219,187,783",2010-01-01
Alaska,"21,864,868",2010-01-01
Arizona,"215,893,349",2010-01-01
Arkansas,"105,526,933",2010-01-01
California,"1,173,485,982",2010-01-01
Colorado,"168,496,790",2010-01-01
Connecticut,"119,417,253",2010-01-01
Delaware,"35,237,985",2010-01-01
District of Columbia,"9,315,587",2010-01-01
Florida,"677,834,305",2010-01-01
Georgia,"385,158,279",2010-01-01
Hawaii,"34,792,830",2010-01-01
Idaho,"51,414,112",2010-01-01
Illinois,"320,187,684",2010-01-01
Indiana,"239,172,436",2010-01-01
Iowa,"123,628,147",2010-01-01
Kansas,"102,179,217",2010-01-01
Kentucky,"168,255,106",2010-01-01
Louisiana,"180,609,333",2010-01-01
Maine,"55,183,463",2010-01-01
Maryland,"221,593,174",2010-01-01
Massachusetts,"219,249,332",2010-01-01
Michigan,"331,090,448",2010-01-01
Minnesota,"200,480,685",2010-01-01
Mississippi,"126,539,363",2010-01-01
Missouri,"240,793,916",2010-01-01
Montana,"33,381,102",2010-01-01
Nebraska,"61,534,727",2010-01-01
Nevada,"85,214,738",2010-01-01
New Hampshire,"56,570,803",2010-01-01
New Jersey,"336,046,743",2010-01-01
New Mexico,"71,914,432",2010-01-01
New York,"479,889,561",2010-01-01
North Carolina,"352,196,771",2010-01-01
North Dakota,"27,282,013",2010-01-01
Ohio,"392,104,432",2010-01-01
Oklahoma,"119,851,840",2010-01-01
Oregon,"73,495,733",2010-01-01
Pennsylvania,"397,072,863",2010-01-01
Rhode Island,"31,988,103",2010-01-01
South Carolina,"215,386,178",2010-01-01
South Dakota,"30,310,606",2010-01-01
Tennessee,"267,560,635",2010-01-01
Texas,"963,712,763",2010-01-01
Utah,"81,944,869",2010-01-01
Vermont,"26,364,508",2010-01-01
Virginia,"315,621,503",2010-01-01
Washington,"201,674,289",2010-01-01
West Virginia,"51,157,335",2010-01-01
Wisconsin,"194,034,292",2010-01-01
Wyoming,"24,618,367",2010-01-01
Alabama,"221,702,128",2011-01-01
Alaska,"21,112,792",2011-01-01
Arizona,"220,148,374",2011-01-01
Arkansas,"110,553,011",2011-01-01
California,"1,204,276,413",2011-01-01
Colorado,"167,407,769",2011-01-01
Connecticut,"116,290,036",2011-01-01
Delaware,"33,330,517",2011-01-01
District of Columbia,"9,609,885",2011-01-01
Florida,"694,184,997",2011-01-01
Georgia,"357,442,382",2011-01-01
Hawaii,"38,767,461",2011-01-01
Idaho,"51,221,847",2011-01-01
Illinois,"377,842,501",2011-01-01
Indiana,"238,783,493",2011-01-01
Iowa,"131,001,255",2011-01-01
Kansas,"102,647,977",2011-01-01
Kentucky,"164,174,091",2011-01-01
Louisiana,"185,662,531",2011-01-01
Maine,"55,553,128",2011-01-01
Maryland,"202,928,050",2011-01-01
Massachusetts,"224,183,479",2011-01-01
Michigan,"358,202,490",2011-01-01
Minnesota,"203,357,828",2011-01-01
Mississippi,"119,051,189",2011-01-01
Missouri,"242,811,017",2011-01-01
Montana,"34,623,262",2011-01-01
Nebraska,"64,220,572",2011-01-01
Nevada,"89,916,680",2011-01-01
New Hampshire,"57,529,022",2011-01-01
New Jersey,"381,009,512",2011-01-01
New Mexico,"89,252,740",2011-01-01
New York,"461,619,649",2011-01-01
North Carolina,"338,923,011",2011-01-01
North Dakota,"25,489,685",2011-01-01
Ohio,"387,782,658",2011-01-01
Oklahoma,"99,179,589",2011-01-01
Oregon,"74,699,209",2011-01-01
Pennsylvania,"395,141,345",2011-01-01
Rhode Island,"30,069,511",2011-01-01
South Carolina,"191,447,128",2011-01-01
South Dakota,"33,241,685",2011-01-01
Tennessee,"261,827,527",2011-01-01
Texas,"980,973,511",2011-01-01
Utah,"89,187,303",2011-01-01
Vermont,"26,796,675",2011-01-01
Virginia,"290,848,722",2011-01-01
Washington,"214,449,331",2011-01-01
West Virginia,"60,167,070",2011-01-01
Wisconsin,"194,280,458",2011-01-01
Wyoming,"27,879,708",2011-01-01
Alabama,"192,300,889",2000-02-01
Alaska,"20,534,026",2000-02-01
Arizona,"195,684,808",2000-02-01
Arkansas,"111,654,421",2000-02-01
California,"1,137,000,000",2000-02-01
Colorado,"216,281,841",2000-02-01
Connecticut,"114,986,603",2000-02-01
Delaware,"29,131,898",2000-02-01
Dist. of Col.,"14,678,015",2000-02-01
Florida,"608,282,378",2000-02-01
Georgia,"372,073,846",2000-02-01
Hawaii,"23,186,800",2000-02-01
Idaho,"56,853,939",2000-02-01
Illinois,"336,588,538",2000-02-01
Indiana,"237,693,719",2000-02-01
Iowa,"115,060,189",2000-02-01
Kansas,"109,371,248",2000-02-01
Kentucky,"166,609,407",2000-02-01
Louisiana,"182,292,494",2000-02-01
Maine,"80,836,135",2000-02-01
Maryland,"186,492,759",2000-02-01
Massachusetts,"210,440,072",2000-02-01
Michigan,"384,657,138",2000-02-01
Minnesota,"195,447,294",2000-02-01
Mississippi,"139,779,652",2000-02-01
Missouri,"238,556,260",2000-02-01
Montana,"34,640,739",2000-02-01
Nebraska,"65,569,937",2000-02-01
Nevada,"71,140,243",2000-02-01
New Hampshire,"52,198,832",2000-02-01
New Jersey,"297,394,762",2000-02-01
New Mexico,"101,855,169",2000-02-01
New York,"421,236,095",2000-02-01
North Carolina,"322,211,598",2000-02-01
North Dakota,"27,221,894",2000-02-01
Ohio,"391,791,600",2000-02-01
Oklahoma,"140,201,398",2000-02-01
Oregon,"119,696,629",2000-02-01
Pennsylvania,"375,018,663",2000-02-01
Rhode Island,"30,633,275",2000-02-01
South Carolina,"175,558,425",2000-02-01
South Dakota,"32,019,510",2000-02-01
Tennessee,"232,321,559",2000-02-01
Texas,"874,702,966",2000-02-01
Utah,"68,869,832",2000-02-01
Vermont,"27,065,113",2000-02-01
Virginia,"302,097,570",2000-02-01
Washington,"207,474,042",2000-02-01
West Virginia,"70,148,521",2000-02-01
Wisconsin,"184,576,621",2000-02-01
Wyoming,"22,328,735",2000-02-01
Alabama,"205,234,165",2001-02-01
Alaska,"17,820,418",2001-02-01
Arizona,"193,757,647",2001-02-01
Arkansas,"110,964,456",2001-02-01
California,"1,123,117,953",2001-02-01
Colorado,"253,876,653",2001-02-01
Connecticut,"108,908,819",2001-02-01
Delaware,"28,318,848",2001-02-01
District of Columbia,"13,553,195",2001-02-01
Florida,"636,665,390",2001-02-01
Georgia,"361,797,680",2001-02-01
Hawaii,"34,163,638",2001-02-01
Idaho,"50,085,879",2001-02-01
Illinois,"406,296,210",2001-02-01
Indiana,"230,565,731",2001-02-01
Iowa,"103,875,476",2001-02-01
Kansas,"98,638,725",2001-02-01
Kentucky,"156,159,116",2001-02-01
Louisiana,"176,497,810",2001-02-01
Maine,"79,109,745",2001-02-01
Maryland,"196,332,547",2001-02-01
Massachusetts,"191,900,342",2001-02-01
Michigan,"367,790,072",2001-02-01
Minnesota,"191,231,689",2001-02-01
Mississippi,"112,184,147",2001-02-01
Missouri,"221,691,763",2001-02-01
Montana,"32,824,249",2001-02-01
Nebraska,"59,785,376",2001-02-01
Nevada,"70,020,342",2001-02-01
New Hampshire,"53,838,828",2001-02-01
New Jersey,"293,485,667",2001-02-01
New Mexico,"109,958,598",2001-02-01
New York,"413,486,510",2001-02-01
North Carolina,"313,280,990",2001-02-01
North Dakota,"31,399,954",2001-02-01
Ohio,"381,911,883",2001-02-01
Oklahoma,"148,433,012",2001-02-01
Oregon,"120,506,038",2001-02-01
Pennsylvania,"365,929,834",2001-02-01
Rhode Island,"28,984,579",2001-02-01
South Carolina,"168,992,288",2001-02-01
South Dakota,"29,354,208",2001-02-01
Tennessee,"223,737,748",2001-02-01
Texas,"839,667,003",2001-02-01
Utah,"72,837,199",2001-02-01
Vermont,"25,753,797",2001-02-01
Virginia,"272,848,375",2001-02-01
Washington,"192,851,622",2001-02-01
West Virginia,"86,336,863",2001-02-01
Wisconsin,"180,310,542",2001-02-01
Wyoming,"20,310,319",2001-02-01
Alabama,"188,972,723",2002-02-01
Alaska,"18,160,481",2002-02-01
Arizona,"200,545,848",2002-02-01
Arkansas,"108,028,448",2002-02-01
California,"1,168,546,612",2002-02-01
